100000 2000 10 100 0
0 9 426 308 388 7
0 44 71 68 223 4
0 93 397 78 350 0
0 129 209 245 18 8
0 164 365 193 349 3
0 194 199 82 112 7
0 233 215 477 269 0
0 241 388 311 417 2
0 248 28 31 241 0
0 264 67 235 208 4
0 289 464 377 303 2
0 293 48 207 442 8
0 324 309 478 145 5
0 369 482 214 269 0
0 458 40 273 379 5
0 492 87 1 138 0
1 36 211 281 4 0
1 41 354 30 52 4
1 76 355 450 289 4
1 117 449 486 435 0
1 191 90 382 80 1
1 215 69 249 362 7
1 250 189 22 443 1
1 267 462 6 47 2
1 284 411 75 85 3
1 348 468 157 162 4
1 355 364 252 309 8
1 361 46 348 49 0
1 380 477 352 438 2
1 403 149 18 452 7
1 441 209 301 261 3
1 458 36 332 20 6
1 471 55 25 340 1
1 488 266 158 261 9
1 491 339 89 468 4
2 17 448 69 339 8
2 28 247 112 263 8
2 52 111 46 267 2
2 72 470 417 454 4
2 95 373 202 28 4
2 113 272 498 417 4
2 130 450 144 377 2
2 164 199 280 189 10
2 194 22 394 417 7
2 207 36 144 437 1
2 229 199 448 467 4
2 274 380 193 271 11
2 277 376 19 111 8
2 287 272 346 135 6
2 319 285 199 244 1
2 320 169 478 136 7
2 343 4 26 56 8
2 408 133 62 304 1
2 446 263 26 373 5
2 450 109 475 252 5
3 1 372 355 454 2
3 25 483 21 194 7
3 88 230 412 69 6
3 93 46 483 157 4
3 165 370 187 36 3
3 176 297 226 207 10
3 178 3 204 255 5
3 242 435 102 479 1
3 260 167 60 470 2
3 355 36 476 285 7
3 360 255 47 280 4
3 402 413 102 48 7
3 410 162 135 339 4
3 416 225 379 336 3
3 420 370 64 250 2
4 70 193 147 363 5
4 126 163 445 1 7
4 138 180 261 229 5
4 166 254 457 200 3
4 188 152 101 353 5
4 205 22 65 425 4
4 219 344 455 371 0
4 288 376 88 386 5
4 327 119 104 390 2
4 335 68 278 266 7
4 377 483 279 56 3
4 382 413 319 372 3
4 417 35 263 206 0
4 441 187 120 200 4
4 455 189 42 391 5
4 458 71 269 174 7
4 476 213 67 333 4
5 4 27 192 310 9
5 37 291 444 105 6
5 40 58 113 18 5
5 52 226 453 336 3
5 91 317 304 256 0
5 154 48 214 227 2
5 161 165 396 46 3
5 195 224 293 407 3
5 228 28 303 316 5
5 232 142 343 87 7
5 232 453 481 390 2
5 342 82 355 132 4
5 372 30 32 338 3
5 430 478 171 282 3
5 466 213 1 85 0
5 470 249 56 443 9
5 492 15 159 49 6
6 14 305 255 342 8
6 26 226 245 242 0
6 77 193 445 99 4
6 148 339 128 242 4
6 190 137 300 164 4
6 217 307 349 274 6
6 221 395 411 434 4
6 265 173 275 146 7
6 294 291 413 148 8
6 299 143 446 338 0
6 320 191 4 386 4
6 337 158 338 263 9
6 341 327 315 399 7
6 342 67 134 72 5
6 342 299 340 174 7
6 361 419 118 101 2
6 415 354 53 382 5
6 416 221 357 406 0
6 421 44 371 333 8
6 445 229 155 418 12
6 446 7 79 258 6
7 11 304 197 2 2
7 15 145 419 19 0
7 26 179 18 447 3
7 43 439 495 413 4
7 45 184 63 474 5
7 66 58 243 181 2
7 123 278 275 351 2
7 135 21 423 367 4
7 135 94 174 355 6
7 175 317 290 60 7
7 227 271 102 259 6
7 239 452 140 139 5
7 263 356 62 65 4
7 292 131 22 48 1
7 371 188 217 444 3
7 379 469 149 119 4
7 400 499 222 111 9
7 409 482 86 436 0
7 460 220 360 395 2
7 472 61 154 291 2
7 493 91 213 161 1
8 4 420 377 78 3
8 18 365 151 358 7
8 56 442 140 304 10
8 89 69 433 460 2
8 96 290 294 82 2
8 110 82 318 446 6
8 161 265 306 162 2
8 169 391 199 50 11
8 171 328 118 11 4
8 172 151 363 383 10
8 178 30 484 412 1
8 183 324 97 26 4
8 215 476 105 103 5
8 217 260 183 420 6
8 242 278 292 456 6
8 260 455 464 342 5
8 287 293 318 322 0
8 350 380 143 99 5
8 364 223 96 441 4
8 375 357 214 104 3
8 397 138 266 416 4
8 404 279 35 103 5
8 409 115 37 144 8
8 415 265 91 456 6
8 427 474 243 225 3
8 481 26 225 9 2
8 488 484 446 80 4
8 496 373 45 257 7
9 1 12 443 8 7
9 85 66 60 381 6
9 98 8 391 342 9
9 103 145 490 429 8
9 111 297 67 120 11
9 120 320 489 107 2
9 177 208 374 401 5
9 195 432 11 460 0
9 224 455 441 406 0
9 274 243 300 350 7
9 280 366 171 50 5
9 290 433 94 360 3
9 378 303 414 111 4
9 387 436 439 314 3
10 27 4 263 16 8
10 132 120 122 463 7
10 132 348 74 466 4
10 155 0 450 192 2
10 217 313 311 309 5
10 267 309 255 498 0
10 337 90 87 123 6
10 352 62 298 389 5
10 368 336 299 44 6
10 369 321 144 20 4
10 378 230 160 440 4
10 387 215 143 284 0
10 396 386 84 197 10
10 397 198 84 284 2
10 449 296 391 279 5
11 12 297 51 21 5
11 21 198 456 106 10
11 46 107 204 276 10
11 94 283 38 2 5
11 106 23 24 384 2
11 140 43 63 78 5
11 198 463 161 158 3
11 202 181 187 218 7
11 206 6 306 25 9
11 262 323 409 370 9
11 307 466 4 480 4
11 312 438 92 218 0
11 330 247 70 169 3
11 333 8 364 81 9
11 369 438 303 195 6
11 372 411 495 140 2
11 407 5 254 329 7
11 422 246 299 214 9
11 454 367 355 340 1
11 470 378 219 168 0
11 473 71 214 139 3
11 490 144 376 252 0
12 11 312 154 125 7
12 48 209 387 475 1
12 52 26 20 211 4
12 91 76 477 44 6
12 130 74 337 383 6
12 165 318 466 453 2
12 321 192 442 426 3
12 330 455 238 130 3
12 356 7 65 2 6
12 369 91 176 324 5
12 371 478 184 300 9
12 435 222 252 317 3
12 472 492 160 125 6
13 14 446 414 279 4
13 56 244 267 132 4
13 122 287 258 152 6
13 169 139 193 204 9
13 228 252 483 370 3
13 243 421 287 152 2
13 248 209 412 399 7
13 280 474 44 184 3
13 280 480 321 401 0
13 318 33 411 46 5
13 333 107 102 334 8
13 383 487 257 203 4
13 385 354 147 265 8
13 405 458 13 157 4
13 423 85 153 147 8
14 3 190 31 310 6
14 17 496 86 224 0
14 19 383 236 260 5
14 38 467 56 391 7
14 80 268 265 478 2
14 103 18 209 111 3
14 105 483 240 8 3
14 129 256 320 193 4
14 222 148 198 139 2
14 235 149 94 445 2
14 249 464 388 451 0
14 256 376 223 479 5
14 257 108 131 269 3
14 279 93 467 243 10
14 316 15 447 378 7
14 333 31 148 186 3
14 363 369 492 59 2
14 398 347 464 470 12
14 403 65 138 317 5
14 403 429 143 373 7
14 432 94 328 218 4
15 2 254 377 257 2
15 19 380 312 74 2
15 35 105 63 332 0
15 63 253 138 443 7
15 70 289 437 452 3
15 90 74 304 258 3
15 209 251 312 109 2
15 222 178 471 324 7
15 260 306 436 408 3
15 277 114 75 269 3
15 295 484 405 88 6
15 298 212 143 466 9
15 332 407 384 458 6
15 365 349 114 460 6
15 375 153 295 249 11
15 376 15 222 452 2
15 383 18 126 321 3
15 388 436 404 20 3
15 409 206 440 157 4
15 416 83 476 487 8
15 444 483 361 18 0
15 468 228 13 297 6
16 93 59 260 199 7
16 110 448 162 289 8
16 120 148 34 488 6
16 163 146 454 458 6
16 297 15 368 383 3
16 305 76 22 334 1
16 340 237 265 93 7
16 349 441 133 404 8
16 352 219 470 234 1
16 361 82 392 155 7
16 391 195 368 343 2
16 415 316 127 323 2
16 477 279 358 39 5
17 1 407 23 180 3
17 2 394 95 68 12
17 50 367 222 429 6
17 75 137 198 319 9
17 77 233 499 428 7
17 188 318 187 11 4
17 233 192 172 457 1
17 239 275 273 476 6
17 255 321 444 75 6
17 266 355 27 400 2
17 296 446 350 472 3
17 308 156 199 153 8
17 311 448 260 253 6
17 319 444 389 37 0
17 381 2 289 212 2
17 383 91 12 464 6
17 384 396 195 101 10
17 423 153 316 19 10
17 493 77 45 161 1
18 26 180 486 89 6
18 68 165 105 14 7
18 70 497 412 197 15
18 75 315 450 109 0
18 101 158 491 316 9
18 174 124 59 70 12
18 190 351 365 487 3
18 246 69 68 154 6
18 256 461 110 249 5
18 277 375 348 383 3
18 287 470 310 60 6
18 303 20 68 409 3
18 319 36 406 381 5
18 321 372 313 372 7
18 331 16 78 25 7
18 332 210 150 374 3
18 340 163 59 456 3
18 364 245 489 495 8
18 367 453 134 383 4
18 404 209 19 167 6
18 407 358 266 166 1
18 476 212 134 71 9
18 483 81 108 61 1
18 485 137 111 32 8
18 487 478 340 469 7
19 26 405 292 455 5
19 40 20 22 7 8
19 69 96 18 20 4
19 75 299 93 183 6
19 81 2 480 311 7
19 89 341 310 152 2
19 100 407 427 188 7
19 169 0 235 429 4
19 177 457 16 348 1
19 179 324 13 74 2
19 180 102 489 489 2
19 201 213 56 329 0
19 308 9 36 258 9
19 338 274 267 25 4
19 344 390 114 400 5
19 379 89 457 126 2
19 380 181 377 221 8
19 429 193 272 23 9
19 433 290 414 250 0
19 436 56 482 17 6
19 464 181 419 423 1
20 5 242 285 42 5
20 37 164 238 455 6
20 57 103 283 322 7
20 107 182 55 262 0
20 166 153 185 457 1
20 175 352 299 347 8
20 178 314 100 311 3
20 198 436 49 312 4
20 207 231 12 331 12
20 243 57 251 63 11
20 245 173 134 93 4
20 266 277 194 70 2
20 273 121 224 359 2
20 273 271 493 139 11
20 295 389 487 498 1
20 425 148 99 232 9
20 453 25 20 428 6
20 471 64 215 309 7
20 489 78 343 191 8
20 489 487 310 13 3
20 495 83 334 69 10
20 499 463 51 3 4
21 10 143 295 109 11
21 10 345 409 10 2
21 23 181 286 259 0
21 46 195 133 160 10
21 58 494 61 315 4
21 64 452 262 66 5
21 69 319 465 3 5
21 105 16 260 178 6
21 134 234 98 461 5
21 136 333 448 218 6
21 137 438 91 393 3
21 138 60 101 383 1
21 157 157 26 63 7
21 161 26 464 49 3
21 168 86 326 412 4
21 169 149 215 150 6
21 216 441 69 60 2
21 241 456 378 119 5
21 250 292 130 140 6
21 261 197 209 114 7
21 289 355 377 470 1
21 306 78 167 264 6
21 320 18 298 205 9
21 340 135 221 53 4
21 377 250 271 437 6
21 379 405 56 153 0
21 413 237 324 385 5
21 468 113 292 374 7
22 8 239 402 136 4
22 13 29 307 87 8
22 20 433 218 388 2
22 24 435 355 89 4
22 26 485 207 447 6
22 97 22 377 445 6
22 161 357 456 115 4
22 177 428 271 289 2
22 221 448 450 36 4
22 240 496 410 322 0
22 293 35 189 152 6
22 317 445 15 178 2
22 334 274 194 447 2
